Admission_rate,Midpoint_of_SAT_scores_at_the_institution__math,In_state_tuition_and_fees,Out_of_state_tuition_and_fees,Average_faculty_salary,Average_cost_of_attendance__academic_year_institutions,Percentage_of_undergraduates_who_receive_a_Pell_Grant,Median_family_income,Control_of_institution,Completion_rate_for_first_time_full_time_target
-1,-1,-1,-1,-1,-1,-1,-1,0,0
67,-1,61,53,40,-1,-1,-1,1,0
22,21,66,58,49,-1,-1,82,1,0
61,-1,52,40,30,-1,-1,82,1,0
-1,-1,57,47,7,-1,-1,-1,0,0
44,55,64,92,96,-1,7,-1,2,1
77,21,81,78,57,-1,-1,91,1,0
-1,-1,-1,-1,-1,-1,-1,33,0,0
-1,-1,-1,-1,-1,-1,-1,70,0,0
-1,-1,-1,-1,-1,-1,45,-1,1,0
-1,-1,75,70,-1,-1,-1,-1,1,0
-1,-1,-1,-1,72,-1,-1,44,2,0
68,-1,-1,-1,-1,-1,20,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,34,0,0
-1,-1,53,41,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,39,0,0
90,-1,-1,-1,-1,-1,-1,52,0,0
-1,-1,11,5,31,-1,-1,50,2,0
-1,-1,-1,-1,16,-1,-1,24,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,15,36,72,6,33,-1,2,0
-1,-1,65,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
14,26,41,67,86,39,26,-1,2,1
-1,-1,-1,-1,-1,-1,52,-1,0,0
-1,-1,-1,-1,52,-1,-1,63,2,0
-1,-1,-1,-1,-1,-1,-1,41,0,0
-1,-1,-1,-1,-1,-1,70,-1,0,0
-1,-1,-1,-1,0,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,56,-1,0,0
69,28,85,83,58,-1,-1,-1,1,1
-1,-1,57,47,15,56,74,-1,0,0
-1,-1,-1,-1,-1,-1,-1,32,0,0
-1,-1,90,89,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,55,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,24,0,0
-1,-1,64,57,24,51,24,-1,0,0
90,-1,60,51,15,-1,-1,-1,1,0
-1,-1,76,71,23,65,82,-1,0,0
-1,-1,0,0,12,-1,-1,13,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,73,68,-1,-1,-1,-1,0,0
3,1,63,56,19,59,76,-1,1,0
-1,-1,72,67,66,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,58,-1,0,0
-1,-1,-1,-1,-1,-1,-1,55,1,0
6,-1,76,72,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,90,89,-1,-1,-1,-1,0,0
64,-1,71,65,18,-1,-1,68,0,1
-1,-1,41,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,17,0,0
-1,-1,-1,-1,0,-1,-1,-1,1,1
1,55,94,94,95,-1,-1,-1,1,1
-1,-1,4,26,94,2,41,-1,2,0
-1,-1,44,26,-1,44,35,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
78,-1,21,25,39,-1,-1,69,2,0
-1,-1,-1,-1,66,-1,-1,68,1,0
-1,-1,-1,-1,1,-1,-1,-1,1,0
-1,-1,-1,-1,25,-1,-1,-1,2,0
90,-1,51,38,-1,-1,-1,-1,0,0
-1,-1,-1,-1,0,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,8,0,0
-1,-1,56,46,33,51,82,-1,0,0
-1,-1,81,77,-1,-1,-1,-1,1,1
-1,-1,-1,-1,52,-1,-1,10,1,0
-1,-1,-1,-1,-1,-1,81,-1,0,0
-1,-1,-1,-1,-1,-1,23,-1,0,0
-1,-1,77,73,8,-1,-1,48,0,0
-1,-1,29,29,88,8,4,-1,2,0
53,-1,-1,-1,19,-1,-1,-1,0,0
-1,-1,71,-1,-1,-1,-1,-1,0,0
16,-1,69,63,38,-1,-1,-1,0,1
-1,-1,-1,-1,-1,-1,1,-1,2,0
-1,-1,61,52,-1,-1,-1,30,0,0
-1,-1,-1,-1,6,-1,-1,44,1,1
-1,-1,85,83,79,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,44,0,0
-1,-1,1,13,89,-1,-1,-1,2,0
-1,-1,-1,-1,83,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,41,-1,0,0
-1,-1,66,59,-1,-1,-1,-1,1,0
-1,-1,-1,-1,33,-1,-1,20,2,0
-1,-1,-1,-1,0,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,86,-1,0,0
-1,-1,8,26,-1,-1,-1,-1,2,0
-1,-1,-1,-1,14,-1,-1,-1,1,0
75,-1,-1,-1,22,-1,-1,-1,0,0
42,-1,48,33,-1,-1,-1,70,2,0
-1,-1,-1,-1,32,-1,-1,84,1,1
-1,-1,-1,-1,-1,-1,76,-1,0,0
50,31,95,94,85,-1,-1,-1,1,1
11,-1,75,70,1,62,70,-1,1,0
-1,-1,56,46,31,-1,-1,75,1,0
-1,-1,-1,-1,-1,-1,-1,37,2,0
83,-1,86,84,48,-1,63,-1,1,0
-1,-1,4,1,17,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
21,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,94,-1,0,0
-1,-1,-1,-1,2,-1,-1,62,0,0
-1,-1,-1,-1,8,-1,-1,-1,0,0
-1,-1,-1,-1,66,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,68,-1,0,0
-1,-1,59,50,21,-1,-1,-1,0,0
-1,-1,-1,-1,45,-1,-1,51,2,0
-1,-1,14,9,49,-1,-1,13,2,0
-1,-1,-1,-1,-1,-1,74,-1,0,0
-1,-1,-1,-1,0,-1,-1,-1,2,0
57,19,88,87,65,-1,-1,78,1,0
-1,-1,-1,-1,-1,-1,97,-1,0,0
-1,-1,-1,-1,-1,-1,87,-1,0,0
84,6,84,81,62,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,47,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,16,29,37,-1,-1,34,2,0
-1,-1,-1,-1,-1,-1,-1,29,0,0
8,-1,28,8,11,-1,-1,-1,1,0
64,-1,83,80,36,63,75,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
26,43,96,96,98,93,11,-1,1,1
9,17,72,66,35,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
32,39,41,67,90,-1,-1,-1,2,1
-1,-1,16,48,49,-1,-1,48,2,0
-1,-1,-1,-1,-1,-1,-1,37,0,0
-1,-1,-1,-1,-1,-1,-1,18,0,0
-1,-1,45,64,87,-1,20,-1,2,0
-1,-1,34,38,71,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,91,90,49,83,28,-1,0,0
-1,-1,-1,-1,18,-1,-1,-1,2,0
-1,-1,20,10,37,-1,-1,33,2,0
30,32,27,64,83,-1,-1,-1,2,1
-1,-1,-1,-1,-1,-1,68,-1,0,0
59,-1,71,65,30,-1,-1,83,1,0
-1,-1,-1,-1,91,-1,-1,39,2,0
46,23,97,96,88,93,13,-1,1,1
-1,-1,-1,-1,-1,-1,67,-1,0,0
90,-1,38,19,21,-1,-1,-1,1,0
-1,-1,-1,-1,6,-1,-1,48,1,0
35,23,93,92,80,-1,-1,-1,1,1
-1,-1,69,62,-1,71,30,-1,0,0
-1,-1,-1,-1,30,-1,-1,21,2,0
-1,-1,7,2,61,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,76,-1,-1,-1,2,1
52,-1,31,33,44,-1,-1,-1,2,0
-1,-1,19,29,64,14,38,-1,2,0
-1,-1,6,2,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,2,-1,0,0
-1,-1,-1,-1,20,-1,-1,74,1,0
-1,-1,30,9,26,-1,-1,-1,1,0
-1,-1,-1,-1,42,-1,-1,39,1,0
-1,-1,-1,-1,49,-1,-1,-1,1,0
44,-1,78,74,15,61,85,-1,1,1
-1,-1,-1,-1,-1,-1,4,-1,1,0
-1,-1,-1,-1,0,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,73,-1,0,0
-1,-1,42,24,24,-1,-1,43,0,0
-1,-1,-1,-1,-1,-1,-1,22,0,0
80,-1,-1,-1,-1,-1,-1,80,0,0
